id,scientificName,eventDate,decimalLongitude,decimalLatitude,collectionCode
0005402c-a638-4058-a94b-827c34da1bdb,Isurus oxyrinchus,4/24/2010,173.693,-34.933,MPI Tagging
0006782d-f836-48b1-bbb2-2baa64a21e40,Isurus oxyrinchus,1993-07-10T00:00:00Z,-44.86666679,44.08333397,
000c1dea-4b80-498c-8888-a63e3e854e30,Isurus oxyrinchus,,-7.516805,3.8668058,DCR (IRD)
0012cf5f-c415-4c27-b2ed-af3fe50a76f7,Isurus oxyrinchus,,48.08391333,13.18451333,ll_YugNIRO
001357de-0e01-45c0-93e5-8d092314f46e,Isurus oxyrinchus,2/21/2012,174.6,-38.317,MPI Tagging
00152c84-8004-4538-97cb-4ba521de1884,Isurus oxyrinchus,2002,157.75,-25.75,Comfish_2000_2002
001c95fc-bce4-42e1-a3a1-1eaf5b379740,Isurus oxyrinchus,2/25/2012,173.783,-34.8,MPI Tagging
003605e8-3db2-43a5-b06f-61e849c457c0,Isurus oxyrinchus,1995-07-18T00:00:00Z,-49.45000076,41.79166603,
003a3e06-957e-4ecc-9ea0-bfac7bac3690,Isurus oxyrinchus,3/29/1997,150.066,-36.416,Ichthyology
0042ac83-1e9c-417d-8b8a-167ab8cc0610,Isurus oxyrinchus,2/17/2001,174.766667,-35.383333,MPI Tagging
005201cd-e3f2-4324-b39f-d40e5d175cad,Isurus oxyrinchus,4/7/1997,172.95,-34.416667,MPI Tagging
00559a24-3796-4f24-8d79-3ef2e9fb71ed,Isurus oxyrinchus,2000-08-19T00:00:00Z,-67.10000229,40.48333359,
00579e77-99e2-4c04-bf6a-418bb131e0d0,Isurus oxyrinchus,3/4/2011,176.35,-37.25,MPI Tagging
005cb454-cab2-4ef5-9413-3abf117c6630,Isurus oxyrinchus,2001,158.25,-29.25,Comfish_2000_2002
0060e661-ac33-44f6-8dbe-3c26a56d899e,Isurus oxyrinchus,2004-07-30T00:00:00Z,-47.82500076,45.29999924,
0065c7dc-8173-4dc1-9f3a-0e1c5f661d37,Isurus oxyrinchus,1993-06-29T00:00:00Z,-51.21666718,41.67499924,
00666c67-923e-4843-9ef2-d70f1895d68d,Isurus oxyrinchus,1978-06-00,-86.443652,30.3828,Fish
0067a5bd-1bc8-47b4-bb75-19d4300b9e13,Isurus oxyrinchus,2/24/2010,174.342,-35.183,MPI Tagging
006d7620-2b87-4fb3-8916-c43b5a994f10,Isurus oxyrinchus,3/19/1986,176.883333,-37.8,MPI Tagging
00701ff3-0ff0-4649-8b0a-c8585805e6c2,Isurus oxyrinchus,2004-09-27T00:00:00Z,-48.91666794,43.35000038,
0072ff23-5d97-4afc-9414-124aed89ebfb,Isurus oxyrinchus,,66.75455,22.92223667,ll_YugNIRO
007ba389-8e38-4a3c-8c7b-96c495308f09,Isurus oxyrinchus,4/18/1997,174.5,-35.516667,MPI Tagging
007cf0d5-fea6-4e29-a620-8b94c580aa5b,Isurus oxyrinchus,1993-06-29T00:00:00Z,-51.21666718,41.67499924,
007f955b-ec53-465a-9810-1f8ec29a52d7,Isurus oxyrinchus,,-11.950139,1.1001389,DCR (IRD)
008438b6-beca-4eb5-a315-665e89bd4ca2,Isurus oxyrinchus,1997-07-18T00:00:00Z,-48.5,42.04999924,
0088618c-a5db-49e5-9178-2b113f364ee8,Isurus oxyrinchus,2003-10-30T00:00:00Z,-71.19166565,39.70833397,
008b6eef-3359-4728-9979-02397153d4d2,Isurus oxyrinchus,,56.03358333,0.368886667,ll_YugNIRO
008eafaa-b114-453e-8cc0-23054d75b671,Isurus oxyrinchus,2002,156.75,-25.25,Comfish_2000_2002
008f5669-4e1e-46b8-a6c2-6abf6fab720d,Isurus oxyrinchus,2/3/2010,174.333,-37.083,MPI Tagging
